,id,tconst,release_date,revenue,budget
332,526295,tt5165620,2018-05-25,0,0
333,133082,tt1890391,2013-01-11,0,0
334,264164,tt3314958,2014-04-19,0,0
335,264166,tt3576060,2014-04-19,0,0
336,526313,tt8412232,2018-05-21,0,0
337,264170,tt3643208,2014-04-09,0,0
338,133108,tt2034741,2011-11-15,0,0
339,264182,tt3598178,2014-04-05,0,0
340,133121,tt1753496,2012-09-25,2325035,0
341,264227,tt1763288,2014-05-13,0,20000
342,395319,tt2278911,2015-12-05,0,0
343,2105,tt0163651,1999-07-09,235483004,11000000
344,133186,tt2229461,2010-10-03,0,0
345,133194,tt1677726,2010-04-08,0,0
346,133196,tt1753811,2011-10-06,0,250000
347,264268,,2012-10-11,0,0
348,264269,tt2400314,2014-03-13,320395,0
349,133200,tt2290840,2012-09-12,0,0
350,395347,tt4471036,2016-04-28,0,0
351,133206,tt1688704,2012-08-31,0,0
352,526445,tt6616436,2017-09-24,0,10000
353,2160,tt0055608,1961-07-12,7000000,1580000
354,2161,tt0060397,1966-08-24,12000000,5115000
355,526456,tt1782524,2011-09-24,0,800
356,526460,tt7006476,2018-07-04,0,2000
357,133250,tt2215215,2012-04-27,0,0
358,526475,tt6156656,2018-06-08,0,0
359,264337,tt3233418,2015-01-16,0,0
360,395430,tt2071452,2012-10-10,0,0
361,264361,tt3103376,2013-08-01,0,0
362,395435,tt4938112,2016-03-10,0,20000
363,526510,tt7169100,2018-05-22,0,0
364,395442,tt5518902,2016-01-01,0,0
365,395457,tt4153650,2014-08-28,0,0
366,395458,tt0491175,2017-10-26,12751667,25000000
367,264399,tt1882055,2010-05-02,0,0
368,395474,tt3234084,2017-09-01,280668,0
369,264419,tt4643580,2015-09-04,9080818,5300000
370,264420,tt2668800,2014-05-02,0,0
371,2280,tt0094737,1988-06-03,151927281,18000000
372,395499,tt3993760,2016-03-21,0,0
373,133369,tt2330322,2012-08-23,0,0
374,264451,tt1984204,2013-05-28,0,0
375,133390,tt2277274,2012-06-06,0,0
376,2320,tt0116253,1996-03-15,121969216,55000000
377,264480,tt3043176,2014-04-04,0,10000
378,133441,tt2363471,2013-10-04,243550,1000000
379,133446,tt2171735,2012-06-02,0,0
380,133448,tt1570337,2010-12-12,0,0
381,133454,tt2381317,2012-09-18,0,200000
382,133458,tt1556243,2012-09-28,0,0
383,133459,tt2192888,2012-12-25,7315184,0
384,133463,tt1857842,2012-11-03,1000000,500000
385,526682,tt4360924,2018-08-07,0,0
386,133470,tt2194569,2012-04-30,0,0
387,264542,tt2551294,2014-03-13,0,0
388,264553,tt2766004,2014-04-30,0,0
389,264555,tt3509114,2014-04-12,0,2000000
390,395639,tt2079532,2011-05-25,0,0
391,264569,tt3667148,2014-04-13,0,0
392,264578,tt2846378,2014-04-13,0,0
393,526733,,2016-07-28,0,0
394,133519,tt2276314,2012-10-17,0,0
395,133521,tt1927068,2012-07-20,0,0
396,395676,tt5336048,2015-06-11,0,0
397,395679,tt3752936,2014-10-18,0,0
398,395681,tt6483596,2014-05-02,0,0
